Number of chars: 15784
Char counts: 
+ --> 224
/ --> 187
0 --> 268
1 --> 237
2 --> 271
3 --> 217
4 --> 267
5 --> 215
6 --> 205
7 --> 233
8 --> 242
9 --> 225
= --> 1
A --> 230
B --> 239
C --> 240
D --> 247
E --> 268
F --> 239
G --> 280
H --> 250
I --> 241
J --> 235
K --> 259
L --> 244
M --> 267
N --> 284
O --> 230
P --> 221
Q --> 250
R --> 269
S --> 246
T --> 264
U --> 235
V --> 270
W --> 275
X --> 226
Y --> 284
Z --> 268
a --> 255
b --> 263
c --> 251
d --> 243
e --> 229
f --> 226
g --> 223
h --> 261
i --> 247
j --> 248
k --> 225
l --> 229
m --> 247
n --> 255
o --> 265
p --> 264
q --> 244
r --> 215
s --> 257
t --> 248
u --> 237
v --> 225
w --> 276
x --> 240
y --> 290
z --> 268

Char frequencies: 
+ --> 0.0141915864166244
/ --> 0.0118474404460213
0 --> 0.0169792194627471
1 --> 0.0150152052711607
2 --> 0.0171692853522555
3 --> 0.0137480993411049
4 --> 0.0169158641662443
5 --> 0.0136213887480993
6 --> 0.0129878357830715
7 --> 0.0147617840851495
8 --> 0.0153319817536746
9 --> 0.0142549417131272
= --> 6.33552965027876E-05
A --> 0.0145717181956412
B --> 0.0151419158641662
C --> 0.015205271160669
D --> 0.0156487582361885
E --> 0.0169792194627471
F --> 0.0151419158641662
G --> 0.0177394830207805
H --> 0.0158388241256969
I --> 0.0152686264571718
J --> 0.0148884946781551
K --> 0.016409021794222
L --> 0.0154586923466802
M --> 0.0169158641662443
N --> 0.0179929042067917
O --> 0.0145717181956412
P --> 0.0140015205271161
Q --> 0.0158388241256969
R --> 0.0170425747592499
S --> 0.0155854029396858
T --> 0.0167257982767359
U --> 0.0148884946781551
V --> 0.0171059300557527
W --> 0.0174227065382666
X --> 0.01431829700963
Y --> 0.0179929042067917
Z --> 0.0169792194627471
a --> 0.0161556006082108
b --> 0.0166624429802331
c --> 0.0159021794221997
d --> 0.0153953370501774
e --> 0.0145083628991384
f --> 0.01431829700963
g --> 0.0141282311201216
h --> 0.0165357323872276
i --> 0.0156487582361885
j --> 0.0157121135326913
k --> 0.0142549417131272
l --> 0.0145083628991384
m --> 0.0156487582361885
n --> 0.0161556006082108
o --> 0.0167891535732387
p --> 0.0167257982767359
q --> 0.0154586923466802
r --> 0.0136213887480993
s --> 0.0162823112012164
t --> 0.0157121135326913
u --> 0.0150152052711607
v --> 0.0142549417131272
w --> 0.0174860618347694
x --> 0.015205271160669
y --> 0.0183730359858084
z --> 0.0169792194627471

Average entropy: 5.99538868509383

Amount of information: 94631.215005521
Amount of information (divided by 8): 11828.9018756901
File size in bytes: 15787
