Number of chars: 5376
Char counts: 
+ --> 40
/ --> 42
0 --> 616
1 --> 26
2 --> 14
3 --> 45
4 --> 41
5 --> 4
6 --> 22
7 --> 65
8 --> 18
9 --> 113
= --> 1
A --> 58
B --> 26
C --> 479
D --> 206
E --> 5
F --> 7
G --> 185
H --> 33
I --> 97
J --> 39
K --> 57
L --> 421
M --> 22
N --> 225
O --> 18
P --> 36
Q --> 401
R --> 207
S --> 33
T --> 26
U --> 33
W --> 24
X --> 27
Y --> 152
Z --> 27
a --> 1
b --> 27
c --> 6
d --> 103
e --> 2
f --> 26
g --> 236
h --> 21
i --> 53
j --> 67
k --> 9
l --> 44
m --> 5
n --> 20
o --> 21
p --> 4
q --> 4
r --> 56
s --> 133
t --> 231
u --> 72
v --> 134
w --> 119
x --> 10
y --> 46
z --> 35

Char frequencies: 
+ --> 0.00744047619047619
/ --> 0.0078125
0 --> 0.114583333333333
1 --> 0.00483630952380952
2 --> 0.00260416666666667
3 --> 0.00837053571428571
4 --> 0.0076264880952381
5 --> 0.000744047619047619
6 --> 0.00409226190476191
7 --> 0.0120907738095238
8 --> 0.00334821428571429
9 --> 0.0210193452380952
= --> 0.000186011904761905
A --> 0.0107886904761905
B --> 0.00483630952380952
C --> 0.0890997023809524
D --> 0.0383184523809524
E --> 0.000930059523809524
F --> 0.00130208333333333
G --> 0.0344122023809524
H --> 0.00613839285714286
I --> 0.0180431547619048
J --> 0.00725446428571429
K --> 0.0106026785714286
L --> 0.0783110119047619
M --> 0.00409226190476191
N --> 0.0418526785714286
O --> 0.00334821428571429
P --> 0.00669642857142857
Q --> 0.0745907738095238
R --> 0.0385044642857143
S --> 0.00613839285714286
T --> 0.00483630952380952
U --> 0.00613839285714286
W --> 0.00446428571428571
X --> 0.00502232142857143
Y --> 0.0282738095238095
Z --> 0.00502232142857143
a --> 0.000186011904761905
b --> 0.00502232142857143
c --> 0.00111607142857143
d --> 0.0191592261904762
e --> 0.00037202380952381
f --> 0.00483630952380952
g --> 0.0438988095238095
h --> 0.00390625
i --> 0.00985863095238095
j --> 0.0124627976190476
k --> 0.00167410714285714
l --> 0.00818452380952381
m --> 0.000930059523809524
n --> 0.0037202380952381
o --> 0.00390625
p --> 0.000744047619047619
q --> 0.000744047619047619
r --> 0.0104166666666667
s --> 0.0247395833333333
t --> 0.04296875
u --> 0.0133928571428571
v --> 0.0249255952380952
w --> 0.0221354166666667
x --> 0.00186011904761905
y --> 0.00855654761904762
z --> 0.00651041666666667

Average entropy: 4.98254497032018

Amount of information: 26786.1617604413
Amount of information (divided by 8): 3348.27022005516
File size in bytes: 5379
