Number of chars: 1748
Char counts: 
+ --> 19
/ --> 24
0 --> 28
1 --> 26
2 --> 31
3 --> 22
4 --> 26
5 --> 25
6 --> 21
7 --> 32
8 --> 23
9 --> 16
= --> 1
A --> 51
B --> 38
C --> 27
D --> 29
E --> 29
F --> 35
G --> 34
H --> 30
I --> 35
J --> 24
K --> 24
L --> 17
M --> 30
N --> 29
O --> 22
P --> 23
Q --> 31
R --> 27
S --> 30
T --> 38
U --> 22
V --> 28
W --> 20
X --> 26
Y --> 34
Z --> 35
a --> 27
b --> 19
c --> 14
d --> 20
e --> 21
f --> 19
g --> 30
h --> 39
i --> 28
j --> 20
k --> 38
l --> 27
m --> 35
n --> 24
o --> 28
p --> 41
q --> 31
r --> 22
s --> 24
t --> 31
u --> 34
v --> 16
w --> 25
x --> 20
y --> 27
z --> 26

Char frequencies: 
+ --> 0.0108695652173913
/ --> 0.0137299771167048
0 --> 0.0160183066361556
1 --> 0.0148741418764302
2 --> 0.0177345537757437
3 --> 0.0125858123569794
4 --> 0.0148741418764302
5 --> 0.0143020594965675
6 --> 0.0120137299771167
7 --> 0.0183066361556064
8 --> 0.0131578947368421
9 --> 0.0091533180778032
= --> 0.0005720823798627
A --> 0.0291762013729977
B --> 0.0217391304347826
C --> 0.0154462242562929
D --> 0.0165903890160183
E --> 0.0165903890160183
F --> 0.0200228832951945
G --> 0.0194508009153318
H --> 0.017162471395881
I --> 0.0200228832951945
J --> 0.0137299771167048
K --> 0.0137299771167048
L --> 0.0097254004576659
M --> 0.017162471395881
N --> 0.0165903890160183
O --> 0.0125858123569794
P --> 0.0131578947368421
Q --> 0.0177345537757437
R --> 0.0154462242562929
S --> 0.017162471395881
T --> 0.0217391304347826
U --> 0.0125858123569794
V --> 0.0160183066361556
W --> 0.011441647597254
X --> 0.0148741418764302
Y --> 0.0194508009153318
Z --> 0.0200228832951945
a --> 0.0154462242562929
b --> 0.0108695652173913
c --> 0.0080091533180778
d --> 0.011441647597254
e --> 0.0120137299771167
f --> 0.0108695652173913
g --> 0.017162471395881
h --> 0.0223112128146453
i --> 0.0160183066361556
j --> 0.011441647597254
k --> 0.0217391304347826
l --> 0.0154462242562929
m --> 0.0200228832951945
n --> 0.0137299771167048
o --> 0.0160183066361556
p --> 0.0234553775743707
q --> 0.0177345537757437
r --> 0.0125858123569794
s --> 0.0137299771167048
t --> 0.0177345537757437
u --> 0.0194508009153318
v --> 0.0091533180778032
w --> 0.0143020594965675
x --> 0.011441647597254
y --> 0.0154462242562929
z --> 0.0148741418764302

Average entropy: 5.95947867889292

Amount of information: 10417.1687307048
Amount of information (divided by 8): 1302.1460913381
File size in bytes: 1751
