Number of chars: 74196
Char counts: 
+ --> 732
/ --> 612
0 --> 8465
1 --> 316
2 --> 46
3 --> 524
4 --> 1032
5 --> 84
6 --> 294
7 --> 972
8 --> 325
9 --> 1700
A --> 651
B --> 324
C --> 6665
D --> 2889
E --> 38
F --> 81
G --> 2788
H --> 500
I --> 1867
J --> 269
K --> 339
L --> 6200
M --> 277
N --> 3646
O --> 106
P --> 508
Q --> 5630
R --> 2595
S --> 270
T --> 322
U --> 260
W --> 420
X --> 343
Y --> 2300
Z --> 475
a --> 12
b --> 450
c --> 61
d --> 1194
e --> 6
f --> 288
g --> 3362
h --> 322
i --> 898
j --> 859
k --> 118
l --> 574
m --> 16
n --> 185
o --> 262
p --> 29
q --> 22
r --> 352
s --> 1683
t --> 2878
u --> 1508
v --> 1950
w --> 1048
x --> 146
y --> 686
z --> 422

Char frequencies: 
+ --> 0.00986576095746401
/ --> 0.00824842309558467
0 --> 0.114089708340072
1 --> 0.00425898970294895
2 --> 0.000619979513720416
3 --> 0.00706237533020648
4 --> 0.0139091056121624
5 --> 0.00113213650331554
6 --> 0.0039624777616044
7 --> 0.0131004366812227
8 --> 0.0043802900425899
9 --> 0.0229122863766241
A --> 0.00877405790069546
B --> 0.00436681222707424
C --> 0.089829640411882
D --> 0.0389374090247453
E --> 0.000512156989595126
F --> 0.00109170305676856
G --> 0.0375761496576635
H --> 0.00673890775783061
I --> 0.0251630815677395
J --> 0.00362553237371287
K --> 0.00456897945980915
L --> 0.0835624561970996
M --> 0.00373335489783816
N --> 0.0491401153701008
O --> 0.00142864844466009
P --> 0.0068467302819559
Q --> 0.0758801013531727
R --> 0.0349749312631409
S --> 0.00363901018922853
T --> 0.00433985659604291
U --> 0.00350423203407192
W --> 0.00566068251657771
X --> 0.0046228907218718
Y --> 0.0309989756860208
Z --> 0.00640196236993908
a --> 0.000161733786187935
b --> 0.00606501698204755
c --> 0.000822146746455335
d --> 0.0160925117256995
e --> 8.08668930939673E-05
f --> 0.00388161086851043
g --> 0.045312415763653
h --> 0.00433985659604291
i --> 0.0121030783330638
j --> 0.011577443527953
k --> 0.00159038223084802
l --> 0.00773626610598954
m --> 0.00021564504825058
n --> 0.00249339587039733
o --> 0.00353118766510324
p --> 0.000390856649954175
q --> 0.000296511941344547
r --> 0.00474419106151275
s --> 0.0226831635128578
t --> 0.038789153054073
u --> 0.0203245457976171
v --> 0.0262817402555394
w --> 0.014124750660413
x --> 0.00196776106528654
y --> 0.0092457814437436
z --> 0.00568763814760904

Average entropy: 4.90491959871185

Amount of information: 363925.414546025
Amount of information (divided by 8): 45490.6768182531
File size in bytes: 74199
